Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
ALICE;Niño;Deportiva;rosa;33,50€;Si;25;69118-C43008;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones-Velcro$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
NANI;Niño;BOTÍN;marron;45,99€;Si;25;47839-C47841;Material principal:Piel$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media;
MARTINA;Niño;Botin;negro;36,99€;Si;32-33-34-35-36-37-38-39;48092-C42697;Material principal:Sintetico$Altura:3 cm$Material de la suela:Caucho$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media;
niña HOG;Niño;Deportivos;marino;35,99€;Si;37;47606-C43002;Material principal:Sintetico$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
con luces de niño LOVE;Niño;Deportivas;blanco;36,99€;Si;30;47721-C19667;Material principal:Sintetico$Altura:2 cm. cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
SHIN;Niño;Botines;gris;29,99€;Si;27-28-29-30-31-32;47951SW-C47975;Material principal:Sintetico$Altura:2 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
SHIN;Niño;Botines;camel;29,99€;Si;26-27-28-29-30-31-32;47951SW-C47944;Material principal:Sintetico$Altura:2 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
FRANCIS;Niño;Botin;cuero;52,99€;No;?;47908-C47913;Material principal:Piel$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
ANGIE;Niño;Deportiva;oro;35,99€;Si;34-35-36-37-38;48154-C50150;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
;Niño;Botines;?;45,99€;No;?;48063-C50220;Altura:2 cm;
;Niño;Botines;?;39,99€;No;?;48076-C50720;Material principal:Textil$Altura:2.50 cm;
?;Niño;Botines;?;?;No;?;48060-C50218;Altura:2 cm;
?;Niño;Botines;?;?;No;?;48062-C50211;Altura:2 cm;
?;Niño;Botines;?;?;No;?;48062-C50212;Altura:2 cm;
?;Niño;Botines;?;?;No;?;48071-C27623;Altura:2 cm;
?;Niño;Botines;azul;?;No;?;48071-C32126;Altura:2 cm;
GASIA;Niño;Deportiva;blanco;33,50€;No;?;47925-C49500;Material principal:Sintetico$Altura:1 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Sintético$Tipo de puntera:Redonda;
MOON;Niño;Deportiva;blanco;34,99€;No;?;47730-C49533;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Sintético$Tipo de puntera:Redonda;
de niña TINA;Niño;Botín;marron;49,99€;No;?;47849-352104;Material principal:Piel$Altura:2.50 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
?;Niño;Botines;negro;?;No;?;48058-C14312;Material principal:Piel$Altura:3 cm;
