Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
de lona;Mujer;Deportivas;rosa;23,99€;Si;36-37-38-40;13991-C49313;Material principal:Textil;
ARES;Mujer;Bota;marron;99,90€;Si;36-37-38-39-40-41;58964-I3332;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta;
ELA;Mujer;Zueco;cuero;69,99€;No;?;58133-C49890;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Madera$Tipo de puntera:Afilada;
PADANG;Mujer;MOCHILA;taupe;35,99€;No;?;PADANG-C47562;Material principal:Sintetico$Base:23$Altura:31 cm$Ancho:16$Tipo de cierre:Cremallera$Material del interior:Textil;
MARILYN;Mujer;Bota;cuero;99,99€;Si;40-41;58134-C49890;Material principal:Piel$Altura:8.50 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta;
COW;Mujer;BOTA;cuero;89,99€;No;?;58962-C49743;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Media;
ANTRAM;Mujer;Bolso;negro;45,90€;No;?;ANTRAM-C50271;Material principal:Sintetico$Base:14$Altura:32 cm$Ancho:32$Tipo de cierre:Cremallera$Material del interior:Textil;
ANTRAM;Mujer;Bolso;gris;45,90€;No;?;ANTRAM-C50269;Material principal:Sintetico$Base:14$Altura:32 cm$Ancho:32$Tipo de cierre:Cremallera$Material del interior:Textil;
SETENTA;Mujer;BOTA;cuero;59,90€;No;?;58804-C48265;Material principal:Sintetico$Altura:10 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Alta;
MINAYA;Mujer;BOTA;negro;55,99€;No;?;58640-C35442;Material principal:Textil$Altura:5 cm;
ANUBIS;Mujer;BOTA;negro;55,90€;No;?;58662-C47322;Material principal:Sintetico$Altura:4 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Alta;
ARES;Mujer;BOTA;cuero;99,90€;Si;36-37-39-40-41;58964-C49743;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta;
SABB;Mujer;ZAPATO;negro;39,99€;No;?;58639-C35442;Material principal:Textil$Altura:6 cm;
NAO;Mujer;BOTA;negro;55,99€;No;?;58573-C35442;Material principal:Textil$Altura:9 cm;
ARES;Mujer;BOTA;negro;99,99€;No;?;58964-C49742;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta;
ARES;Mujer;Bota;azul;99,99€;No;?;58964-C49891;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta;
ARES;Mujer;Bota;beige;79,90€;Si;37-38;58964-C49914;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta;
MINAYA;Mujer;BOTA;taupe;55,99€;No;?;58640-C38313;Material principal:Textil$Altura:5 cm;
COMBA;Mujer;Bota;negro;59,99€;No;?;58750-C47176;Altura:2 cm;
ADARA;Mujer;BOTA;negro;55,99€;No;?;58678-C27784;Material principal:Textil$Altura:6.50 cm;
